Data Generated by    ,Optosky
Save time:,2022/4/4 17:29:34
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0061
207.113,0.0061
207.498,0.0061
207.884,0.0061
208.269,0.0061
208.655,0.0061
209.040,0.0061
209.426,0.0061
209.812,0.0061
210.197,0.0063
210.583,0.0074
210.969,0.0073
211.355,0.0075
211.741,0.0072
212.127,0.0070
212.513,0.0078
212.899,0.0081
213.285,0.0081
213.671,0.0077
214.057,0.0074
214.443,0.0076
214.829,0.0081
215.215,0.0082
215.602,0.0075
215.988,0.0077
216.374,0.0085
216.761,0.0092
217.147,0.0089
217.534,0.0084
217.920,0.0080
218.307,0.0084
218.694,0.0085
219.080,0.0088
219.467,0.0073
219.854,0.0078
220.240,0.0085
220.627,0.0092
221.014,0.0089
221.401,0.0094
221.788,0.0100
222.175,0.0109
222.562,0.0115
222.949,0.0111
223.336,0.0110
223.723,0.0121
224.110,0.0122
224.497,0.0119
224.885,0.0123
225.272,0.0134
225.659,0.0140
226.047,0.0129
226.434,0.0125
226.822,0.0138
227.209,0.0142
227.597,0.0146
227.984,0.0162
228.372,0.0164
228.759,0.0163
229.147,0.0169
229.535,0.0181
229.923,0.0193
230.310,0.0194
230.698,0.0197
231.086,0.0200
231.474,0.0207
231.862,0.0218
232.250,0.0224
232.638,0.0229
233.026,0.0231
233.414,0.0245
233.802,0.0253
234.191,0.0256
234.579,0.0265
234.967,0.0278
235.355,0.0277
235.744,0.0274
236.132,0.0277
236.521,0.0272
236.909,0.0282
237.298,0.0292
237.686,0.0291
238.075,0.0281
238.463,0.0291
238.852,0.0278
239.241,0.0286
239.629,0.0298
240.018,0.0307
240.407,0.0306
240.796,0.0317
241.185,0.0317
241.574,0.0320
241.963,0.0326
242.352,0.0334
242.741,0.0332
243.130,0.0324
243.519,0.0328
243.908,0.0326
244.297,0.0325
244.687,0.0324
245.076,0.0316
245.465,0.0312
245.855,0.0313
246.244,0.0320
246.634,0.0324
247.023,0.0320
247.413,0.0330
247.802,0.0333
248.192,0.0341
248.581,0.0344
248.971,0.0335
249.361,0.0335
249.751,0.0347
250.140,0.0353
250.530,0.0345
250.920,0.0339
251.310,0.0344
251.700,0.0345
252.090,0.0341
252.480,0.0341
252.870,0.0344
253.260,0.0350
253.650,0.0355
254.040,0.0361
254.431,0.0363
254.821,0.0361
255.211,0.0349
255.601,0.0355
255.992,0.0352
256.382,0.0354
256.773,0.0349
257.163,0.0354
257.554,0.0346
257.944,0.0332
258.335,0.0328
258.725,0.0321
259.116,0.0313
259.507,0.0312
259.898,0.0323
260.288,0.0329
260.679,0.0326
261.070,0.0328
261.461,0.0323
261.852,0.0324
262.243,0.0324
262.634,0.0317
263.025,0.0300
263.416,0.0306
263.807,0.0305
264.198,0.0312
264.589,0.0304
264.981,0.0296
265.372,0.0301
265.763,0.0295
