Data Generated by    ,Optosky
Save time:,2022/4/4 19:14:37
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0062
207.113,0.0062
207.498,0.0062
207.884,0.0062
208.269,0.0062
208.655,0.0062
209.040,0.0062
209.426,0.0062
209.812,0.0062
210.197,0.0067
210.583,0.0076
210.969,0.0071
211.355,0.0076
211.741,0.0073
212.127,0.0069
212.513,0.0074
212.899,0.0073
213.285,0.0065
213.671,0.0064
214.057,0.0076
214.443,0.0072
214.829,0.0073
215.215,0.0076
215.602,0.0077
215.988,0.0083
216.374,0.0088
216.761,0.0088
217.147,0.0087
217.534,0.0086
217.920,0.0077
218.307,0.0084
218.694,0.0083
219.080,0.0084
219.467,0.0068
219.854,0.0079
220.240,0.0086
220.627,0.0089
221.014,0.0086
221.401,0.0093
221.788,0.0105
222.175,0.0112
222.562,0.0114
222.949,0.0116
223.336,0.0117
223.723,0.0116
224.110,0.0116
224.497,0.0112
224.885,0.0115
225.272,0.0122
225.659,0.0129
226.047,0.0117
226.434,0.0126
226.822,0.0134
227.209,0.0149
227.597,0.0151
227.984,0.0169
228.372,0.0163
228.759,0.0167
229.147,0.0178
229.535,0.0187
229.923,0.0197
230.310,0.0198
230.698,0.0201
231.086,0.0198
231.474,0.0207
231.862,0.0216
232.250,0.0221
232.638,0.0222
233.026,0.0229
233.414,0.0249
233.802,0.0250
234.191,0.0246
234.579,0.0264
234.967,0.0277
235.355,0.0276
235.744,0.0281
236.132,0.0282
236.521,0.0278
236.909,0.0282
237.298,0.0290
237.686,0.0292
238.075,0.0288
238.463,0.0299
238.852,0.0294
239.241,0.0306
239.629,0.0311
240.018,0.0314
240.407,0.0313
240.796,0.0317
241.185,0.0323
241.574,0.0325
241.963,0.0324
242.352,0.0327
242.741,0.0322
243.130,0.0323
243.519,0.0328
243.908,0.0324
244.297,0.0329
244.687,0.0328
245.076,0.0320
245.465,0.0319
245.855,0.0323
246.244,0.0324
246.634,0.0324
247.023,0.0320
247.413,0.0325
247.802,0.0330
248.192,0.0342
248.581,0.0345
248.971,0.0331
249.361,0.0332
249.751,0.0347
250.140,0.0351
250.530,0.0346
250.920,0.0347
251.310,0.0347
251.700,0.0349
252.090,0.0342
252.480,0.0345
252.870,0.0349
253.260,0.0356
253.650,0.0358
254.040,0.0360
254.431,0.0348
254.821,0.0352
255.211,0.0341
255.601,0.0346
