Data Generated by    ,Optosky
Save time:,2022/4/5 15:23:40
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0103
207.113,0.0103
207.498,0.0103
207.884,0.0103
208.269,0.0103
208.655,0.0103
209.040,0.0103
209.426,0.0103
209.812,0.0103
210.197,0.0100
210.583,0.0106
210.969,0.0103
211.355,0.0106
211.741,0.0110
212.127,0.0108
212.513,0.0112
212.899,0.0115
213.285,0.0108
213.671,0.0110
214.057,0.0110
214.443,0.0106
214.829,0.0114
215.215,0.0111
215.602,0.0111
215.988,0.0109
216.374,0.0103
216.761,0.0116
217.147,0.0112
217.534,0.0107
217.920,0.0102
218.307,0.0100
218.694,0.0103
219.080,0.0104
219.467,0.0107
219.854,0.0117
220.240,0.0120
220.627,0.0118
221.014,0.0121
221.401,0.0130
221.788,0.0130
222.175,0.0128
222.562,0.0135
222.949,0.0131
223.336,0.0137
223.723,0.0138
224.110,0.0139
224.497,0.0138
224.885,0.0141
225.272,0.0144
225.659,0.0144
226.047,0.0145
226.434,0.0147
226.822,0.0154
227.209,0.0163
227.597,0.0170
227.984,0.0181
228.372,0.0183
228.759,0.0192
229.147,0.0197
229.535,0.0195
229.923,0.0203
230.310,0.0204
230.698,0.0206
231.086,0.0221
231.474,0.0225
231.862,0.0236
232.250,0.0229
232.638,0.0233
233.026,0.0243
233.414,0.0250
233.802,0.0254
234.191,0.0266
234.579,0.0273
234.967,0.0287
235.355,0.0283
235.744,0.0282
236.132,0.0296
236.521,0.0302
236.909,0.0301
237.298,0.0300
237.686,0.0302
238.075,0.0305
238.463,0.0312
238.852,0.0327
239.241,0.0326
239.629,0.0313
240.018,0.0320
240.407,0.0330
240.796,0.0339
241.185,0.0346
241.574,0.0352
241.963,0.0348
242.352,0.0349
242.741,0.0344
243.130,0.0347
243.519,0.0351
243.908,0.0352
244.297,0.0347
244.687,0.0347
245.076,0.0352
245.465,0.0346
245.855,0.0343
246.244,0.0344
246.634,0.0352
247.023,0.0360
247.413,0.0352
247.802,0.0359
248.192,0.0361
248.581,0.0362
248.971,0.0367
249.361,0.0368
249.751,0.0373
250.140,0.0384
250.530,0.0381
250.920,0.0374
251.310,0.0382
251.700,0.0383
252.090,0.0377
252.480,0.0372
252.870,0.0379
253.260,0.0378
253.650,0.0368
254.040,0.0369
254.431,0.0379
254.821,0.0374
255.211,0.0374
255.601,0.0370
255.992,0.0380
256.382,0.0378
256.773,0.0386
257.163,0.0373
257.554,0.0371
257.944,0.0379
258.335,0.0361
258.725,0.0360
259.116,0.0353
259.507,0.0356
259.898,0.0357
260.288,0.0356
260.679,0.0356
261.070,0.0355
261.461,0.0352
261.852,0.0355
262.243,0.0355
262.634,0.0353
263.025,0.0351
263.416,0.0350
263.807,0.0344
264.198,0.0339
264.589,0.0336
264.981,0.0330
265.372,0.0326
265.763,0.0324
266.155,0.0322
266.546,0.0322
266.937,0.0323
267.329,0.0321
267.720,0.0320
268.112,0.0320
268.504,0.0326
268.895,0.0322
269.287,0.0314
269.678,0.0310
270.070,0.0315
270.462,0.0319
270.854,0.0324
271.246,0.0332
271.637,0.0329
272.029,0.0325
272.421,0.0335
272.813,0.0326
273.205,0.0325
273.597,0.0324
273.989,0.0341
274.382,0.0343
274.774,0.0344
275.166,0.0351
275.558,0.0346
275.950,0.0344
276.343,0.0351
276.735,0.0347
277.127,0.0345
277.520,0.0347
277.912,0.0339
278.305,0.0342
278.697,0.0350
279.090,0.0344
279.483,0.0337
279.875,0.0346
280.268,0.0344
280.661,0.0349
281.053,0.0349
281.446,0.0349
281.839,0.0353
282.232,0.0348
282.625,0.0350
283.018,0.0346
283.411,0.0350
283.804,0.0356
284.197,0.0352
284.590,0.0356
284.983,0.0350
285.376,0.0358
285.769,0.0357
286.163,0.0347
286.556,0.0351
286.949,0.0361
287.342,0.0353
287.736,0.0358
288.129,0.0358
288.523,0.0351
288.916,0.0355
289.310,0.0355
289.703,0.0356
290.097,0.0353
290.490,0.0361
290.884,0.0355
291.278,0.0355
291.672,0.0349
292.065,0.0351
292.459,0.0352
292.853,0.0342
293.247,0.0349
293.641,0.0357
294.035,0.0350
294.429,0.0348
294.823,0.0346
295.217,0.0356
295.611,0.0360
296.005,0.0353
296.399,0.0359
296.793,0.0363
297.188,0.0360
297.582,0.0357
297.976,0.0360
298.371,0.0358
298.765,0.0362
299.159,0.0361
299.554,0.0357
299.948,0.0366
300.343,0.0377
300.737,0.0385
301.132,0.0384
301.527,0.0390
301.921,0.0393
302.316,0.0389
302.711,0.0395
303.105,0.0406
303.500,0.0410
303.895,0.0405
304.290,0.0409
304.685,0.0411
305.080,0.0417
305.475,0.0415
305.870,0.0410
306.265,0.0410
306.660,0.0412
307.055,0.0417
307.450,0.0419
307.845,0.0426
308.241,0.0417
308.636,0.0421
309.031,0.0423
309.427,0.0425
309.822,0.0418
310.217,0.0416
310.613,0.0418
311.008,0.0422
311.404,0.0423
311.799,0.0417
312.195,0.0417
312.591,0.0421
312.986,0.0425
313.382,0.0422
313.778,0.0423
314.173,0.0423
314.569,0.0426
314.965,0.0429
315.361,0.0430
315.757,0.0429
316.153,0.0422
316.549,0.0403
316.945,0.0402
317.341,0.0417
317.737,0.0417
318.133,0.0404
318.529,0.0400
318.925,0.0392
319.321,0.0395
319.718,0.0402
320.114,0.0402
320.510,0.0401
320.906,0.0393
321.303,0.0390
321.699,0.0384
322.096,0.0382
322.492,0.0376
322.889,0.0370
323.285,0.0370
323.682,0.0374
324.078,0.0363
324.475,0.0362
324.872,0.0360
325.268,0.0359
325.665,0.0361
326.062,0.0359
326.459,0.0360
326.856,0.0351
327.253,0.0348
327.649,0.0348
328.046,0.0352
328.443,0.0348
328.840,0.0345
329.237,0.0344
329.635,0.0347
330.032,0.0342
330.429,0.0344
330.826,0.0342
331.223,0.0338
331.621,0.0333
