Data Generated by    ,Optosky
Save time:,2022/4/4 18:38:19
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0080
207.113,0.0080
207.498,0.0080
207.884,0.0080
208.269,0.0080
208.655,0.0080
209.040,0.0080
209.426,0.0080
209.812,0.0080
210.197,0.0081
210.583,0.0084
210.969,0.0077
211.355,0.0080
211.741,0.0080
212.127,0.0077
212.513,0.0076
212.899,0.0081
213.285,0.0073
213.671,0.0073
214.057,0.0078
214.443,0.0078
214.829,0.0083
215.215,0.0081
215.602,0.0086
215.988,0.0094
216.374,0.0090
216.761,0.0092
217.147,0.0094
217.534,0.0085
217.920,0.0080
218.307,0.0079
218.694,0.0083
219.080,0.0090
219.467,0.0078
219.854,0.0087
220.240,0.0092
220.627,0.0099
221.014,0.0101
221.401,0.0102
221.788,0.0115
222.175,0.0110
222.562,0.0117
222.949,0.0113
223.336,0.0115
223.723,0.0124
224.110,0.0121
224.497,0.0126
224.885,0.0127
225.272,0.0132
225.659,0.0140
226.047,0.0133
226.434,0.0133
226.822,0.0139
227.209,0.0149
227.597,0.0153
227.984,0.0164
228.372,0.0166
228.759,0.0171
229.147,0.0178
229.535,0.0191
229.923,0.0201
230.310,0.0204
230.698,0.0203
231.086,0.0203
231.474,0.0207
231.862,0.0220
232.250,0.0224
232.638,0.0221
233.026,0.0235
233.414,0.0250
233.802,0.0257
234.191,0.0258
234.579,0.0271
234.967,0.0281
235.355,0.0274
235.744,0.0278
236.132,0.0274
236.521,0.0281
236.909,0.0289
237.298,0.0289
237.686,0.0290
238.075,0.0293
238.463,0.0304
238.852,0.0299
239.241,0.0304
239.629,0.0315
240.018,0.0314
240.407,0.0308
240.796,0.0321
241.185,0.0320
241.574,0.0328
241.963,0.0327
242.352,0.0337
242.741,0.0336
243.130,0.0331
243.519,0.0332
243.908,0.0329
244.297,0.0331
244.687,0.0331
245.076,0.0327
245.465,0.0326
245.855,0.0321
246.244,0.0328
246.634,0.0331
247.023,0.0331
247.413,0.0334
247.802,0.0339
248.192,0.0346
248.581,0.0346
248.971,0.0334
249.361,0.0334
249.751,0.0349
250.140,0.0352
250.530,0.0352
250.920,0.0346
251.310,0.0350
251.700,0.0354
252.090,0.0359
252.480,0.0357
252.870,0.0359
253.260,0.0355
253.650,0.0364
254.040,0.0370
254.431,0.0361
254.821,0.0360
255.211,0.0357
255.601,0.0360
255.992,0.0359
256.382,0.0361
256.773,0.0362
257.163,0.0360
257.554,0.0352
257.944,0.0345
258.335,0.0335
258.725,0.0325
259.116,0.0322
259.507,0.0320
259.898,0.0322
260.288,0.0330
260.679,0.0327
261.070,0.0324
261.461,0.0323
261.852,0.0323
262.243,0.0328
262.634,0.0324
263.025,0.0310
263.416,0.0316
263.807,0.0311
264.198,0.0313
264.589,0.0312
264.981,0.0309
265.372,0.0308
265.763,0.0301
266.155,0.0298
266.546,0.0289
266.937,0.0303
267.329,0.0298
267.720,0.0292
268.112,0.0290
268.504,0.0288
268.895,0.0288
269.287,0.0292
269.678,0.0291
270.070,0.0287
270.462,0.0292
270.854,0.0293
271.246,0.0285
271.637,0.0285
272.029,0.0297
272.421,0.0298
272.813,0.0305
273.205,0.0301
273.597,0.0305
273.989,0.0312
274.382,0.0310
274.774,0.0311
275.166,0.0311
275.558,0.0320
275.950,0.0325
276.343,0.0328
276.735,0.0329
277.127,0.0321
277.520,0.0319
277.912,0.0315
278.305,0.0314
278.697,0.0310
279.090,0.0321
279.483,0.0324
279.875,0.0322
280.268,0.0327
280.661,0.0325
281.053,0.0317
281.446,0.0326
281.839,0.0328
282.232,0.0330
282.625,0.0333
283.018,0.0340
283.411,0.0335
283.804,0.0336
284.197,0.0330
284.590,0.0334
284.983,0.0327
285.376,0.0335
285.769,0.0342
286.163,0.0341
286.556,0.0335
286.949,0.0339
287.342,0.0339
287.736,0.0340
288.129,0.0334
288.523,0.0341
288.916,0.0333
289.310,0.0330
289.703,0.0327
290.097,0.0332
290.490,0.0331
290.884,0.0329
291.278,0.0321
291.672,0.0330
292.065,0.0334
292.459,0.0327
292.853,0.0324
293.247,0.0322
293.641,0.0335
294.035,0.0339
294.429,0.0338
294.823,0.0340
295.217,0.0337
295.611,0.0339
296.005,0.0336
296.399,0.0331
296.793,0.0330
297.188,0.0336
297.582,0.0329
297.976,0.0329
298.371,0.0332
298.765,0.0341
299.159,0.0345
299.554,0.0349
299.948,0.0355
300.343,0.0358
300.737,0.0363
301.132,0.0369
301.527,0.0369
301.921,0.0367
302.316,0.0373
302.711,0.0377
303.105,0.0381
303.500,0.0391
303.895,0.0396
304.290,0.0397
304.685,0.0395
305.080,0.0387
305.475,0.0397
305.870,0.0407
306.265,0.0399
306.660,0.0405
307.055,0.0412
307.450,0.0415
307.845,0.0416
308.241,0.0420
308.636,0.0404
309.031,0.0406
309.427,0.0403
309.822,0.0411
310.217,0.0408
310.613,0.0410
311.008,0.0406
311.404,0.0408
311.799,0.0416
312.195,0.0422
312.591,0.0421
312.986,0.0419
313.382,0.0417
313.778,0.0416
314.173,0.0412
314.569,0.0412
314.965,0.0415
315.361,0.0412
315.757,0.0417
316.153,0.0413
316.549,0.0405
316.945,0.0418
317.341,0.0411
317.737,0.0410
318.133,0.0401
318.529,0.0399
318.925,0.0396
319.321,0.0402
319.718,0.0398
320.114,0.0395
320.510,0.0390
320.906,0.0390
321.303,0.0385
321.699,0.0389
322.096,0.0385
322.492,0.0381
322.889,0.0374
323.285,0.0379
323.682,0.0375
324.078,0.0369
324.475,0.0368
324.872,0.0361
325.268,0.0357
325.665,0.0353
326.062,0.0355
326.459,0.0354
326.856,0.0346
327.253,0.0348
327.649,0.0348
328.046,0.0348
328.443,0.0345
328.840,0.0335
329.237,0.0342
329.635,0.0337
330.032,0.0337
330.429,0.0335
330.826,0.0338
331.223,0.0342
331.621,0.0340
332.018,0.0339
332.415,0.0348
332.812,0.0349
333.210,0.0351
333.607,0.0356
334.005,0.0344
334.402,0.0349
334.800,0.0345
335.197,0.0345
335.595,0.0348
335.993,0.0353
336.390,0.0355
336.788,0.0363
337.186,0.0356
337.583,0.0362
337.981,0.0368
338.379,0.0372
338.777,0.0371
339.175,0.0374
339.573,0.0374
339.971,0.0376
340.369,0.0387
340.767,0.0387
341.165,0.0394
341.563,0.0397
341.961,0.0394
342.359,0.0399
342.757,0.0399
343.156,0.0399
343.554,0.0405
343.952,0.0398
344.350,0.0393
344.749,0.0403
345.147,0.0401
345.546,0.0406
345.944,0.0398
346.343,0.0395
346.741,0.0401
347.140,0.0404
347.538,0.0412
347.937,0.0413
348.336,0.0407
348.734,0.0408
349.133,0.0416
349.532,0.0413
349.931,0.0414
350.329,0.0419
350.728,0.0421
351.127,0.0414
351.526,0.0407
351.925,0.0412
352.324,0.0407
352.723,0.0404
353.122,0.0406
353.521,0.0413
353.920,0.0405
354.319,0.0397
354.719,0.0403
355.118,0.0408
355.517,0.0405
355.916,0.0397
356.316,0.0387
356.715,0.0388
357.114,0.0392
357.514,0.0393
357.913,0.0389
358.313,0.0388
358.712,0.0382
359.112,0.0382
359.511,0.0382
359.911,0.0378
360.310,0.0377
360.710,0.0371
361.110,0.0369
361.510,0.0367
361.909,0.0369
362.309,0.0361
362.709,0.0349
363.109,0.0345
363.509,0.0344
363.909,0.0349
364.309,0.0345
364.708,0.0345
365.108,0.0337
365.509,0.0340
365.909,0.0344
366.309,0.0339
366.709,0.0339
367.109,0.0340
367.509,0.0334
367.909,0.0336
368.310,0.0335
368.710,0.0327
369.110,0.0319
369.511,0.0318
369.911,0.0317
370.312,0.0313
370.712,0.0314
371.113,0.0313
371.513,0.0316
371.914,0.0317
372.314,0.0308
372.715,0.0314
373.115,0.0314
373.516,0.0317
373.917,0.0322
374.318,0.0326
374.718,0.0324
375.119,0.0328
375.520,0.0333
375.921,0.0332
376.322,0.0338
376.723,0.0336
377.124,0.0337
377.525,0.0346
377.926,0.0349
378.327,0.0359
378.728,0.0361
379.129,0.0371
379.530,0.0367
379.931,0.0369
380.332,0.0365
380.734,0.0371
381.135,0.0375
381.536,0.0376
381.938,0.0381
382.339,0.0391
382.740,0.0388
