Data Generated by    ,Optosky
Save time:,2022/4/5 15:10:52
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0079
207.113,0.0079
207.498,0.0079
207.884,0.0079
208.269,0.0079
208.655,0.0079
209.040,0.0079
209.426,0.0079
209.812,0.0079
210.197,0.0081
210.583,0.0082
210.969,0.0077
211.355,0.0082
211.741,0.0090
212.127,0.0089
212.513,0.0083
212.899,0.0084
213.285,0.0071
213.671,0.0076
214.057,0.0078
214.443,0.0079
214.829,0.0086
215.215,0.0084
215.602,0.0084
215.988,0.0077
216.374,0.0077
216.761,0.0091
217.147,0.0089
217.534,0.0088
217.920,0.0090
218.307,0.0090
218.694,0.0088
219.080,0.0086
219.467,0.0087
219.854,0.0096
220.240,0.0095
220.627,0.0097
221.014,0.0093
221.401,0.0097
221.788,0.0100
222.175,0.0105
222.562,0.0115
222.949,0.0114
223.336,0.0114
223.723,0.0115
224.110,0.0114
224.497,0.0117
224.885,0.0122
225.272,0.0123
225.659,0.0118
226.047,0.0123
226.434,0.0121
226.822,0.0128
227.209,0.0136
227.597,0.0138
227.984,0.0151
228.372,0.0151
228.759,0.0155
229.147,0.0162
229.535,0.0163
229.923,0.0171
230.310,0.0175
230.698,0.0180
231.086,0.0194
231.474,0.0199
231.862,0.0202
232.250,0.0206
232.638,0.0208
233.026,0.0221
233.414,0.0222
233.802,0.0225
234.191,0.0235
234.579,0.0245
234.967,0.0252
235.355,0.0252
235.744,0.0250
236.132,0.0265
236.521,0.0266
236.909,0.0268
237.298,0.0268
237.686,0.0277
238.075,0.0280
238.463,0.0287
238.852,0.0297
239.241,0.0296
239.629,0.0286
240.018,0.0292
240.407,0.0300
240.796,0.0306
241.185,0.0315
241.574,0.0323
241.963,0.0321
242.352,0.0329
242.741,0.0323
243.130,0.0320
243.519,0.0323
243.908,0.0325
244.297,0.0321
244.687,0.0321
245.076,0.0322
245.465,0.0315
245.855,0.0318
246.244,0.0324
246.634,0.0327
247.023,0.0332
247.413,0.0328
247.802,0.0328
248.192,0.0327
248.581,0.0328
248.971,0.0336
249.361,0.0336
249.751,0.0342
250.140,0.0351
250.530,0.0350
250.920,0.0348
251.310,0.0348
251.700,0.0354
252.090,0.0348
252.480,0.0346
252.870,0.0354
253.260,0.0351
253.650,0.0338
254.040,0.0342
254.431,0.0350
254.821,0.0351
255.211,0.0351
255.601,0.0348
255.992,0.0350
256.382,0.0349
256.773,0.0353
257.163,0.0349
257.554,0.0346
257.944,0.0351
258.335,0.0341
258.725,0.0343
259.116,0.0335
259.507,0.0338
259.898,0.0334
260.288,0.0329
260.679,0.0327
261.070,0.0324
261.461,0.0320
261.852,0.0326
262.243,0.0323
262.634,0.0323
263.025,0.0318
263.416,0.0313
263.807,0.0309
264.198,0.0308
264.589,0.0310
264.981,0.0312
265.372,0.0310
265.763,0.0301
266.155,0.0298
266.546,0.0289
266.937,0.0293
267.329,0.0282
267.720,0.0285
268.112,0.0289
268.504,0.0291
268.895,0.0291
269.287,0.0284
269.678,0.0289
270.070,0.0288
270.462,0.0293
270.854,0.0297
271.246,0.0299
271.637,0.0297
272.029,0.0297
272.421,0.0303
272.813,0.0293
273.205,0.0300
273.597,0.0297
273.989,0.0310
274.382,0.0308
274.774,0.0316
275.166,0.0321
275.558,0.0312
275.950,0.0310
276.343,0.0317
276.735,0.0309
277.127,0.0307
277.520,0.0311
277.912,0.0310
278.305,0.0313
278.697,0.0325
279.090,0.0319
279.483,0.0309
279.875,0.0312
280.268,0.0315
280.661,0.0323
281.053,0.0323
281.446,0.0320
281.839,0.0323
282.232,0.0317
282.625,0.0324
283.018,0.0318
283.411,0.0326
283.804,0.0328
284.197,0.0325
284.590,0.0328
284.983,0.0328
285.376,0.0339
285.769,0.0332
286.163,0.0324
286.556,0.0321
286.949,0.0327
287.342,0.0320
287.736,0.0323
288.129,0.0324
288.523,0.0323
288.916,0.0325
289.310,0.0325
289.703,0.0335
290.097,0.0328
290.490,0.0330
290.884,0.0322
291.278,0.0323
291.672,0.0323
292.065,0.0323
292.459,0.0322
292.853,0.0314
293.247,0.0319
293.641,0.0324
294.035,0.0320
294.429,0.0323
294.823,0.0320
295.217,0.0324
295.611,0.0331
296.005,0.0325
296.399,0.0334
296.793,0.0333
297.188,0.0329
297.582,0.0322
297.976,0.0329
298.371,0.0330
298.765,0.0336
