Data Generated by    ,Optosky
Save time:,2022/4/5 15:43:21
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0116
207.113,0.0116
207.498,0.0116
207.884,0.0116
208.269,0.0116
208.655,0.0116
209.040,0.0116
209.426,0.0116
209.812,0.0116
210.197,0.0120
210.583,0.0116
210.969,0.0115
211.355,0.0124
211.741,0.0121
212.127,0.0121
212.513,0.0123
212.899,0.0132
213.285,0.0117
213.671,0.0120
214.057,0.0127
214.443,0.0119
214.829,0.0126
215.215,0.0124
215.602,0.0124
215.988,0.0123
216.374,0.0123
216.761,0.0126
217.147,0.0125
217.534,0.0120
217.920,0.0119
218.307,0.0113
218.694,0.0110
219.080,0.0121
219.467,0.0125
219.854,0.0128
220.240,0.0130
220.627,0.0132
221.014,0.0131
221.401,0.0139
221.788,0.0137
222.175,0.0141
222.562,0.0141
222.949,0.0147
223.336,0.0149
223.723,0.0147
224.110,0.0155
224.497,0.0154
224.885,0.0155
225.272,0.0161
225.659,0.0155
226.047,0.0159
226.434,0.0157
226.822,0.0162
227.209,0.0176
227.597,0.0181
227.984,0.0190
228.372,0.0194
228.759,0.0204
229.147,0.0207
229.535,0.0210
229.923,0.0217
230.310,0.0220
230.698,0.0225
231.086,0.0232
231.474,0.0243
231.862,0.0247
232.250,0.0248
232.638,0.0248
233.026,0.0259
233.414,0.0266
233.802,0.0269
234.191,0.0278
234.579,0.0290
234.967,0.0294
235.355,0.0293
235.744,0.0294
236.132,0.0307
236.521,0.0310
236.909,0.0312
237.298,0.0314
237.686,0.0318
238.075,0.0323
238.463,0.0329
238.852,0.0342
239.241,0.0343
239.629,0.0330
240.018,0.0337
240.407,0.0349
240.796,0.0353
241.185,0.0358
241.574,0.0363
241.963,0.0359
242.352,0.0362
242.741,0.0359
243.130,0.0361
243.519,0.0358
243.908,0.0364
244.297,0.0353
244.687,0.0359
245.076,0.0360
245.465,0.0360
245.855,0.0359
246.244,0.0360
246.634,0.0367
247.023,0.0376
247.413,0.0368
247.802,0.0371
248.192,0.0364
248.581,0.0365
248.971,0.0374
249.361,0.0375
249.751,0.0388
250.140,0.0392
250.530,0.0389
250.920,0.0394
251.310,0.0393
251.700,0.0396
252.090,0.0387
252.480,0.0387
252.870,0.0387
253.260,0.0391
253.650,0.0380
254.040,0.0382
254.431,0.0385
254.821,0.0388
255.211,0.0385
255.601,0.0382
255.992,0.0387
256.382,0.0382
256.773,0.0390
257.163,0.0382
257.554,0.0385
257.944,0.0386
258.335,0.0372
258.725,0.0378
259.116,0.0372
259.507,0.0373
259.898,0.0373
260.288,0.0369
260.679,0.0361
261.070,0.0367
261.461,0.0362
261.852,0.0363
262.243,0.0364
262.634,0.0357
263.025,0.0349
263.416,0.0355
263.807,0.0353
264.198,0.0351
264.589,0.0350
264.981,0.0347
265.372,0.0338
265.763,0.0337
266.155,0.0335
266.546,0.0329
266.937,0.0327
267.329,0.0326
267.720,0.0328
268.112,0.0328
268.504,0.0327
268.895,0.0321
269.287,0.0316
269.678,0.0320
270.070,0.0319
270.462,0.0328
270.854,0.0335
271.246,0.0338
271.637,0.0340
272.029,0.0342
272.421,0.0346
272.813,0.0340
273.205,0.0340
273.597,0.0338
273.989,0.0351
274.382,0.0353
274.774,0.0352
275.166,0.0357
275.558,0.0356
275.950,0.0357
276.343,0.0360
276.735,0.0355
277.127,0.0349
277.520,0.0349
277.912,0.0346
278.305,0.0352
278.697,0.0360
279.090,0.0357
279.483,0.0349
279.875,0.0353
280.268,0.0356
280.661,0.0359
281.053,0.0358
281.446,0.0350
281.839,0.0357
282.232,0.0357
282.625,0.0359
283.018,0.0359
283.411,0.0364
283.804,0.0371
284.197,0.0369
284.590,0.0369
284.983,0.0367
285.376,0.0372
285.769,0.0367
286.163,0.0359
286.556,0.0363
286.949,0.0368
287.342,0.0361
287.736,0.0362
288.129,0.0365
288.523,0.0370
288.916,0.0364
289.310,0.0366
289.703,0.0363
290.097,0.0360
290.490,0.0366
290.884,0.0359
291.278,0.0360
291.672,0.0358
292.065,0.0367
292.459,0.0363
292.853,0.0358
293.247,0.0356
293.641,0.0362
294.035,0.0359
294.429,0.0359
294.823,0.0355
295.217,0.0360
295.611,0.0363
296.005,0.0364
296.399,0.0365
296.793,0.0370
297.188,0.0371
297.582,0.0364
297.976,0.0371
298.371,0.0367
298.765,0.0376
299.159,0.0376
299.554,0.0370
299.948,0.0381
300.343,0.0388
300.737,0.0391
301.132,0.0393
301.527,0.0397
301.921,0.0398
302.316,0.0399
302.711,0.0405
303.105,0.0411
303.500,0.0422
303.895,0.0416
304.290,0.0415
304.685,0.0422
305.080,0.0424
305.475,0.0423
305.870,0.0419
306.265,0.0413
306.660,0.0415
307.055,0.0420
307.450,0.0418
307.845,0.0424
308.241,0.0427
308.636,0.0429
309.031,0.0431
309.427,0.0430
309.822,0.0422
310.217,0.0417
310.613,0.0423
311.008,0.0421
311.404,0.0430
311.799,0.0427
312.195,0.0424
312.591,0.0429
312.986,0.0427
313.382,0.0425
313.778,0.0430
314.173,0.0429
314.569,0.0434
314.965,0.0436
315.361,0.0438
315.757,0.0432
316.153,0.0423
316.549,0.0412
316.945,0.0413
317.341,0.0415
317.737,0.0421
318.133,0.0405
318.529,0.0398
318.925,0.0399
319.321,0.0402
319.718,0.0410
320.114,0.0408
320.510,0.0412
320.906,0.0406
321.303,0.0401
321.699,0.0397
322.096,0.0390
322.492,0.0387
322.889,0.0384
323.285,0.0382
323.682,0.0385
324.078,0.0378
324.475,0.0368
324.872,0.0368
325.268,0.0370
325.665,0.0369
326.062,0.0369
326.459,0.0373
326.856,0.0364
327.253,0.0357
327.649,0.0361
328.046,0.0362
328.443,0.0353
328.840,0.0352
329.237,0.0350
329.635,0.0351
330.032,0.0349
330.429,0.0353
330.826,0.0352
331.223,0.0348
331.621,0.0343
332.018,0.0346
332.415,0.0350
332.812,0.0361
333.210,0.0354
333.607,0.0354
334.005,0.0359
334.402,0.0361
334.800,0.0357
335.197,0.0360
335.595,0.0355
335.993,0.0355
336.390,0.0359
336.788,0.0354
337.186,0.0351
337.583,0.0361
337.981,0.0370
338.379,0.0377
338.777,0.0378
339.175,0.0383
339.573,0.0378
339.971,0.0377
340.369,0.0384
340.767,0.0388
341.165,0.0395
341.563,0.0383
341.961,0.0385
342.359,0.0384
342.757,0.0381
343.156,0.0390
343.554,0.0392
343.952,0.0390
344.350,0.0395
344.749,0.0397
345.147,0.0406
