Data Generated by    ,Optosky
Save time:,2022/4/5 12:46:21
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0123
207.113,0.0123
207.498,0.0123
207.884,0.0123
208.269,0.0123
208.655,0.0123
209.040,0.0123
209.426,0.0123
209.812,0.0123
210.197,0.0125
210.583,0.0126
210.969,0.0119
211.355,0.0126
211.741,0.0129
212.127,0.0126
212.513,0.0124
212.899,0.0130
213.285,0.0124
213.671,0.0123
214.057,0.0126
214.443,0.0123
214.829,0.0129
215.215,0.0131
215.602,0.0128
215.988,0.0127
216.374,0.0128
216.761,0.0136
217.147,0.0131
217.534,0.0126
217.920,0.0127
218.307,0.0118
218.694,0.0118
219.080,0.0122
219.467,0.0121
219.854,0.0137
220.240,0.0133
220.627,0.0135
221.014,0.0133
221.401,0.0142
221.788,0.0149
222.175,0.0145
222.562,0.0151
222.949,0.0152
223.336,0.0155
223.723,0.0160
224.110,0.0161
224.497,0.0160
224.885,0.0163
225.272,0.0165
225.659,0.0164
226.047,0.0160
226.434,0.0165
226.822,0.0175
227.209,0.0182
227.597,0.0187
227.984,0.0191
228.372,0.0195
228.759,0.0201
229.147,0.0206
229.535,0.0214
229.923,0.0219
230.310,0.0221
230.698,0.0224
231.086,0.0236
231.474,0.0241
231.862,0.0250
232.250,0.0249
232.638,0.0249
233.026,0.0259
233.414,0.0264
233.802,0.0272
234.191,0.0282
234.579,0.0289
234.967,0.0297
235.355,0.0297
235.744,0.0299
236.132,0.0312
236.521,0.0310
236.909,0.0314
237.298,0.0322
237.686,0.0328
238.075,0.0333
238.463,0.0337
238.852,0.0347
239.241,0.0346
239.629,0.0340
240.018,0.0344
240.407,0.0350
240.796,0.0357
241.185,0.0362
241.574,0.0366
241.963,0.0368
242.352,0.0367
242.741,0.0359
243.130,0.0364
243.519,0.0368
243.908,0.0375
244.297,0.0364
244.687,0.0365
245.076,0.0371
245.465,0.0363
245.855,0.0365
246.244,0.0364
246.634,0.0374
247.023,0.0378
247.413,0.0366
247.802,0.0373
248.192,0.0375
248.581,0.0374
248.971,0.0382
249.361,0.0381
249.751,0.0390
250.140,0.0394
250.530,0.0391
250.920,0.0389
251.310,0.0385
251.700,0.0394
252.090,0.0393
252.480,0.0392
252.870,0.0397
253.260,0.0394
253.650,0.0380
254.040,0.0386
254.431,0.0395
254.821,0.0394
255.211,0.0397
255.601,0.0394
255.992,0.0393
256.382,0.0385
256.773,0.0395
257.163,0.0385
257.554,0.0383
257.944,0.0395
258.335,0.0385
258.725,0.0382
259.116,0.0379
259.507,0.0378
259.898,0.0381
260.288,0.0384
260.679,0.0383
261.070,0.0378
261.461,0.0373
261.852,0.0371
262.243,0.0363
262.634,0.0360
263.025,0.0357
263.416,0.0365
263.807,0.0361
264.198,0.0354
264.589,0.0353
264.981,0.0354
265.372,0.0349
265.763,0.0342
266.155,0.0341
266.546,0.0331
266.937,0.0336
267.329,0.0323
267.720,0.0327
268.112,0.0335
268.504,0.0334
268.895,0.0329
269.287,0.0320
269.678,0.0323
270.070,0.0323
270.462,0.0329
270.854,0.0336
271.246,0.0348
271.637,0.0345
272.029,0.0347
272.421,0.0350
272.813,0.0347
273.205,0.0347
273.597,0.0345
273.989,0.0360
274.382,0.0359
274.774,0.0365
275.166,0.0359
275.558,0.0352
275.950,0.0355
276.343,0.0359
276.735,0.0355
277.127,0.0355
277.520,0.0355
277.912,0.0350
278.305,0.0359
278.697,0.0368
279.090,0.0364
279.483,0.0356
279.875,0.0365
280.268,0.0362
280.661,0.0368
281.053,0.0363
281.446,0.0363
281.839,0.0367
282.232,0.0360
282.625,0.0357
283.018,0.0358
283.411,0.0366
283.804,0.0365
284.197,0.0362
284.590,0.0365
284.983,0.0366
285.376,0.0377
285.769,0.0375
286.163,0.0367
286.556,0.0368
286.949,0.0370
287.342,0.0366
287.736,0.0369
288.129,0.0372
288.523,0.0367
288.916,0.0362
289.310,0.0366
289.703,0.0367
290.097,0.0368
290.490,0.0372
290.884,0.0363
291.278,0.0366
291.672,0.0361
292.065,0.0365
292.459,0.0361
292.853,0.0352
293.247,0.0355
293.641,0.0366
294.035,0.0360
294.429,0.0367
294.823,0.0364
295.217,0.0369
295.611,0.0372
296.005,0.0368
296.399,0.0373
296.793,0.0372
297.188,0.0371
297.582,0.0365
297.976,0.0375
298.371,0.0372
298.765,0.0379
299.159,0.0375
299.554,0.0371
299.948,0.0377
300.343,0.0386
300.737,0.0395
301.132,0.0397
301.527,0.0401
301.921,0.0407
302.316,0.0405
302.711,0.0406
303.105,0.0413
303.500,0.0420
303.895,0.0413
304.290,0.0417
304.685,0.0422
305.080,0.0428
305.475,0.0426
305.870,0.0422
306.265,0.0423
306.660,0.0421
307.055,0.0423
307.450,0.0429
307.845,0.0437
308.241,0.0432
308.636,0.0434
309.031,0.0439
309.427,0.0438
309.822,0.0434
310.217,0.0429
310.613,0.0431
311.008,0.0435
311.404,0.0427
311.799,0.0427
312.195,0.0431
312.591,0.0434
312.986,0.0431
313.382,0.0431
313.778,0.0437
314.173,0.0436
314.569,0.0438
314.965,0.0443
315.361,0.0447
315.757,0.0441
316.153,0.0430
316.549,0.0420
316.945,0.0420
317.341,0.0424
317.737,0.0429
318.133,0.0417
318.529,0.0408
318.925,0.0402
