Data Generated by    ,Optosky
Save time:,2022/4/4 18:27:58
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0070
207.113,0.0070
207.498,0.0070
207.884,0.0070
208.269,0.0070
208.655,0.0070
209.040,0.0070
209.426,0.0070
209.812,0.0070
210.197,0.0073
210.583,0.0083
210.969,0.0080
211.355,0.0079
211.741,0.0080
212.127,0.0070
212.513,0.0074
212.899,0.0080
213.285,0.0078
213.671,0.0074
214.057,0.0075
214.443,0.0078
214.829,0.0084
215.215,0.0086
215.602,0.0082
215.988,0.0084
216.374,0.0089
216.761,0.0094
217.147,0.0096
217.534,0.0088
217.920,0.0083
218.307,0.0089
218.694,0.0093
219.080,0.0098
219.467,0.0086
219.854,0.0089
220.240,0.0091
220.627,0.0108
221.014,0.0108
221.401,0.0110
221.788,0.0107
222.175,0.0112
222.562,0.0112
222.949,0.0111
223.336,0.0119
223.723,0.0123
224.110,0.0124
224.497,0.0120
224.885,0.0122
225.272,0.0131
225.659,0.0136
226.047,0.0133
226.434,0.0135
226.822,0.0143
227.209,0.0152
227.597,0.0151
227.984,0.0164
228.372,0.0168
228.759,0.0173
229.147,0.0177
229.535,0.0188
229.923,0.0201
230.310,0.0205
230.698,0.0213
231.086,0.0207
231.474,0.0213
231.862,0.0227
232.250,0.0230
232.638,0.0230
233.026,0.0232
233.414,0.0248
233.802,0.0256
234.191,0.0256
234.579,0.0263
234.967,0.0275
235.355,0.0273
235.744,0.0278
236.132,0.0274
236.521,0.0277
236.909,0.0285
237.298,0.0289
237.686,0.0287
238.075,0.0291
238.463,0.0298
238.852,0.0298
239.241,0.0306
239.629,0.0316
240.018,0.0317
240.407,0.0313
240.796,0.0325
241.185,0.0325
241.574,0.0325
241.963,0.0326
242.352,0.0327
242.741,0.0331
243.130,0.0332
243.519,0.0330
243.908,0.0331
244.297,0.0331
244.687,0.0334
245.076,0.0331
245.465,0.0329
245.855,0.0325
246.244,0.0326
246.634,0.0328
247.023,0.0325
247.413,0.0331
247.802,0.0331
248.192,0.0341
248.581,0.0341
248.971,0.0332
249.361,0.0334
249.751,0.0347
250.140,0.0354
250.530,0.0346
250.920,0.0341
251.310,0.0346
251.700,0.0343
252.090,0.0349
252.480,0.0348
252.870,0.0352
253.260,0.0354
253.650,0.0355
254.040,0.0359
254.431,0.0357
254.821,0.0355
255.211,0.0347
255.601,0.0355
255.992,0.0349
256.382,0.0348
256.773,0.0352
257.163,0.0358
257.554,0.0360
257.944,0.0336
258.335,0.0332
258.725,0.0322
259.116,0.0324
259.507,0.0323
259.898,0.0329
260.288,0.0332
260.679,0.0331
261.070,0.0328
261.461,0.0328
261.852,0.0326
262.243,0.0330
262.634,0.0320
263.025,0.0307
263.416,0.0308
263.807,0.0310
264.198,0.0313
264.589,0.0308
264.981,0.0304
265.372,0.0311
265.763,0.0299
266.155,0.0292
266.546,0.0284
266.937,0.0296
267.329,0.0297
267.720,0.0290
268.112,0.0285
268.504,0.0288
268.895,0.0289
269.287,0.0291
269.678,0.0290
270.070,0.0285
270.462,0.0285
270.854,0.0285
271.246,0.0277
271.637,0.0280
272.029,0.0293
272.421,0.0295
272.813,0.0301
273.205,0.0297
273.597,0.0300
273.989,0.0307
274.382,0.0306
274.774,0.0300
275.166,0.0302
275.558,0.0310
275.950,0.0317
276.343,0.0312
276.735,0.0322
277.127,0.0317
277.520,0.0322
277.912,0.0320
278.305,0.0319
278.697,0.0316
279.090,0.0320
279.483,0.0320
279.875,0.0323
280.268,0.0328
280.661,0.0330
281.053,0.0321
281.446,0.0330
281.839,0.0331
282.232,0.0332
282.625,0.0333
283.018,0.0336
283.411,0.0326
283.804,0.0332
284.197,0.0330
284.590,0.0329
284.983,0.0325
285.376,0.0332
285.769,0.0338
286.163,0.0331
286.556,0.0328
286.949,0.0330
287.342,0.0334
287.736,0.0336
288.129,0.0341
288.523,0.0335
288.916,0.0332
289.310,0.0330
289.703,0.0329
290.097,0.0335
290.490,0.0332
290.884,0.0328
291.278,0.0320
291.672,0.0326
292.065,0.0330
292.459,0.0329
292.853,0.0324
293.247,0.0323
293.641,0.0330
294.035,0.0340
294.429,0.0335
294.823,0.0339
295.217,0.0330
295.611,0.0333
296.005,0.0334
296.399,0.0333
296.793,0.0333
297.188,0.0334
297.582,0.0326
297.976,0.0326
298.371,0.0333
298.765,0.0343
299.159,0.0347
299.554,0.0351
299.948,0.0352
300.343,0.0355
300.737,0.0361
301.132,0.0366
301.527,0.0368
301.921,0.0367
302.316,0.0375
302.711,0.0378
303.105,0.0378
303.500,0.0390
303.895,0.0391
304.290,0.0395
304.685,0.0394
305.080,0.0390
305.475,0.0396
305.870,0.0401
306.265,0.0401
306.660,0.0403
307.055,0.0411
307.450,0.0412
307.845,0.0418
308.241,0.0420
308.636,0.0411
309.031,0.0408
309.427,0.0407
309.822,0.0417
310.217,0.0408
310.613,0.0407
311.008,0.0403
311.404,0.0408
311.799,0.0413
312.195,0.0419
312.591,0.0418
312.986,0.0422
313.382,0.0413
313.778,0.0418
314.173,0.0416
314.569,0.0413
314.965,0.0416
315.361,0.0416
315.757,0.0416
316.153,0.0414
316.549,0.0412
316.945,0.0419
317.341,0.0417
317.737,0.0413
318.133,0.0401
318.529,0.0400
318.925,0.0396
319.321,0.0402
319.718,0.0395
320.114,0.0395
320.510,0.0396
320.906,0.0395
321.303,0.0388
321.699,0.0387
322.096,0.0383
322.492,0.0381
322.889,0.0378
323.285,0.0386
323.682,0.0377
324.078,0.0374
324.475,0.0370
324.872,0.0360
325.268,0.0362
325.665,0.0352
326.062,0.0347
326.459,0.0348
326.856,0.0341
327.253,0.0341
327.649,0.0349
328.046,0.0347
328.443,0.0341
328.840,0.0336
329.237,0.0332
329.635,0.0336
330.032,0.0334
330.429,0.0331
330.826,0.0332
331.223,0.0336
331.621,0.0335
332.018,0.0346
332.415,0.0352
332.812,0.0346
333.210,0.0350
333.607,0.0352
334.005,0.0344
334.402,0.0345
334.800,0.0342
335.197,0.0345
335.595,0.0347
335.993,0.0352
336.390,0.0351
336.788,0.0359
337.186,0.0361
337.583,0.0367
337.981,0.0367
338.379,0.0364
338.777,0.0367
339.175,0.0370
339.573,0.0371
339.971,0.0374
340.369,0.0380
340.767,0.0384
341.165,0.0385
341.563,0.0391
