Data Generated by    ,Optosky
Save time:,2022/4/5 16:08:10
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0132
207.113,0.0132
207.498,0.0132
207.884,0.0132
208.269,0.0132
208.655,0.0132
209.040,0.0132
209.426,0.0132
209.812,0.0132
210.197,0.0136
210.583,0.0139
210.969,0.0132
211.355,0.0134
211.741,0.0140
212.127,0.0128
212.513,0.0132
212.899,0.0137
213.285,0.0124
213.671,0.0136
214.057,0.0140
214.443,0.0135
214.829,0.0143
215.215,0.0140
215.602,0.0139
215.988,0.0141
216.374,0.0137
216.761,0.0144
217.147,0.0139
217.534,0.0130
217.920,0.0130
218.307,0.0124
218.694,0.0123
219.080,0.0130
219.467,0.0136
219.854,0.0140
220.240,0.0140
220.627,0.0144
221.014,0.0145
221.401,0.0151
221.788,0.0151
222.175,0.0152
222.562,0.0161
222.949,0.0155
223.336,0.0160
223.723,0.0158
224.110,0.0163
224.497,0.0163
224.885,0.0169
225.272,0.0172
225.659,0.0169
226.047,0.0165
226.434,0.0165
226.822,0.0181
227.209,0.0190
227.597,0.0192
227.984,0.0199
228.372,0.0209
228.759,0.0218
229.147,0.0221
229.535,0.0224
229.923,0.0225
230.310,0.0229
230.698,0.0234
231.086,0.0248
231.474,0.0253
231.862,0.0253
232.250,0.0247
232.638,0.0252
233.026,0.0270
233.414,0.0273
233.802,0.0275
234.191,0.0287
234.579,0.0300
234.967,0.0307
235.355,0.0306
235.744,0.0308
236.132,0.0323
236.521,0.0324
236.909,0.0320
237.298,0.0329
237.686,0.0339
238.075,0.0342
238.463,0.0346
238.852,0.0346
239.241,0.0352
239.629,0.0341
240.018,0.0349
240.407,0.0353
240.796,0.0363
241.185,0.0374
241.574,0.0376
241.963,0.0367
242.352,0.0371
242.741,0.0376
243.130,0.0372
243.519,0.0372
243.908,0.0375
244.297,0.0366
244.687,0.0368
245.076,0.0375
245.465,0.0367
245.855,0.0366
246.244,0.0369
246.634,0.0383
247.023,0.0384
247.413,0.0373
247.802,0.0382
248.192,0.0384
248.581,0.0383
248.971,0.0384
249.361,0.0389
