Data Generated by    ,Optosky
Save time:,2022/4/5 16:07:52
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0122
207.113,0.0122
207.498,0.0122
207.884,0.0122
208.269,0.0122
208.655,0.0122
209.040,0.0122
209.426,0.0122
209.812,0.0122
210.197,0.0126
210.583,0.0129
210.969,0.0123
211.355,0.0125
211.741,0.0132
212.127,0.0131
212.513,0.0132
212.899,0.0137
213.285,0.0130
213.671,0.0133
214.057,0.0131
214.443,0.0131
214.829,0.0129
215.215,0.0128
215.602,0.0125
215.988,0.0125
216.374,0.0127
216.761,0.0138
217.147,0.0137
217.534,0.0126
217.920,0.0125
218.307,0.0124
218.694,0.0127
219.080,0.0124
219.467,0.0128
219.854,0.0143
220.240,0.0140
220.627,0.0131
221.014,0.0135
221.401,0.0149
221.788,0.0155
222.175,0.0150
222.562,0.0153
222.949,0.0153
223.336,0.0161
223.723,0.0159
224.110,0.0164
224.497,0.0161
224.885,0.0168
225.272,0.0166
225.659,0.0164
226.047,0.0162
226.434,0.0163
226.822,0.0172
227.209,0.0182
227.597,0.0185
227.984,0.0195
228.372,0.0204
228.759,0.0209
229.147,0.0215
229.535,0.0221
229.923,0.0222
230.310,0.0224
230.698,0.0234
231.086,0.0246
231.474,0.0254
231.862,0.0256
232.250,0.0250
232.638,0.0252
233.026,0.0267
233.414,0.0270
233.802,0.0276
234.191,0.0285
234.579,0.0300
234.967,0.0308
235.355,0.0307
235.744,0.0307
236.132,0.0319
236.521,0.0317
236.909,0.0316
237.298,0.0322
237.686,0.0325
238.075,0.0327
238.463,0.0337
238.852,0.0352
239.241,0.0350
239.629,0.0349
240.018,0.0361
240.407,0.0361
240.796,0.0370
241.185,0.0372
241.574,0.0379
241.963,0.0378
242.352,0.0378
242.741,0.0371
243.130,0.0373
243.519,0.0377
243.908,0.0383
244.297,0.0373
244.687,0.0369
245.076,0.0375
245.465,0.0373
245.855,0.0373
246.244,0.0375
246.634,0.0385
247.023,0.0387
247.413,0.0383
247.802,0.0384
248.192,0.0385
248.581,0.0383
248.971,0.0387
249.361,0.0388
249.751,0.0401
250.140,0.0407
250.530,0.0408
250.920,0.0402
251.310,0.0403
251.700,0.0408
252.090,0.0403
252.480,0.0399
252.870,0.0403
253.260,0.0408
253.650,0.0391
254.040,0.0400
254.431,0.0404
254.821,0.0402
255.211,0.0405
255.601,0.0400
255.992,0.0402
256.382,0.0395
256.773,0.0406
257.163,0.0401
257.554,0.0395
257.944,0.0404
258.335,0.0392
258.725,0.0390
259.116,0.0388
259.507,0.0389
259.898,0.0388
260.288,0.0380
260.679,0.0379
261.070,0.0383
261.461,0.0381
261.852,0.0382
262.243,0.0383
262.634,0.0377
263.025,0.0374
263.416,0.0370
263.807,0.0367
264.198,0.0364
264.589,0.0364
264.981,0.0365
265.372,0.0356
265.763,0.0352
266.155,0.0346
266.546,0.0347
266.937,0.0352
267.329,0.0342
267.720,0.0345
268.112,0.0353
268.504,0.0348
268.895,0.0340
269.287,0.0336
269.678,0.0340
270.070,0.0340
270.462,0.0344
270.854,0.0350
271.246,0.0355
271.637,0.0356
272.029,0.0360
272.421,0.0371
272.813,0.0359
273.205,0.0358
273.597,0.0358
273.989,0.0370
274.382,0.0368
274.774,0.0374
275.166,0.0377
275.558,0.0366
275.950,0.0367
276.343,0.0373
276.735,0.0366
277.127,0.0358
277.520,0.0367
277.912,0.0360
278.305,0.0366
278.697,0.0373
279.090,0.0370
279.483,0.0366
279.875,0.0367
280.268,0.0372
280.661,0.0378
281.053,0.0379
281.446,0.0374
281.839,0.0373
282.232,0.0367
282.625,0.0373
283.018,0.0366
283.411,0.0370
283.804,0.0376
284.197,0.0380
284.590,0.0378
284.983,0.0375
285.376,0.0390
285.769,0.0386
286.163,0.0375
286.556,0.0377
286.949,0.0380
287.342,0.0378
287.736,0.0380
288.129,0.0382
288.523,0.0375
288.916,0.0365
289.310,0.0375
289.703,0.0378
290.097,0.0376
290.490,0.0384
290.884,0.0378
291.278,0.0376
291.672,0.0374
292.065,0.0379
292.459,0.0381
292.853,0.0376
293.247,0.0377
293.641,0.0382
294.035,0.0380
294.429,0.0378
294.823,0.0377
295.217,0.0383
295.611,0.0386
296.005,0.0375
296.399,0.0373
296.793,0.0380
297.188,0.0378
297.582,0.0375
297.976,0.0378
298.371,0.0379
298.765,0.0390
299.159,0.0387
299.554,0.0380
299.948,0.0390
300.343,0.0394
300.737,0.0400
301.132,0.0404
301.527,0.0410
301.921,0.0417
302.316,0.0418
302.711,0.0415
303.105,0.0423
303.500,0.0433
303.895,0.0426
304.290,0.0427
304.685,0.0432
305.080,0.0430
305.475,0.0436
305.870,0.0433
306.265,0.0431
306.660,0.0436
307.055,0.0435
307.450,0.0444
307.845,0.0448
308.241,0.0444
308.636,0.0444
309.031,0.0449
309.427,0.0448
309.822,0.0437
310.217,0.0434
310.613,0.0435
311.008,0.0438
311.404,0.0439
311.799,0.0430
312.195,0.0433
312.591,0.0436
312.986,0.0440
313.382,0.0438
313.778,0.0443
314.173,0.0446
314.569,0.0445
314.965,0.0446
315.361,0.0450
315.757,0.0445
316.153,0.0438
316.549,0.0425
316.945,0.0425
317.341,0.0434
317.737,0.0431
318.133,0.0418
318.529,0.0411
318.925,0.0407
319.321,0.0408
319.718,0.0414
320.114,0.0416
320.510,0.0415
320.906,0.0414
321.303,0.0405
321.699,0.0401
322.096,0.0396
322.492,0.0391
322.889,0.0388
323.285,0.0395
323.682,0.0398
324.078,0.0385
324.475,0.0380
324.872,0.0378
325.268,0.0376
325.665,0.0380
326.062,0.0375
326.459,0.0382
326.856,0.0372
327.253,0.0363
327.649,0.0365
328.046,0.0370
328.443,0.0362
328.840,0.0361
329.237,0.0355
329.635,0.0359
330.032,0.0359
330.429,0.0358
330.826,0.0355
331.223,0.0356
331.621,0.0354
332.018,0.0355
332.415,0.0349
332.812,0.0361
333.210,0.0356
333.607,0.0356
334.005,0.0362
334.402,0.0365
334.800,0.0362
335.197,0.0361
335.595,0.0364
335.993,0.0368
336.390,0.0366
336.788,0.0366
337.186,0.0367
337.583,0.0367
337.981,0.0378
338.379,0.0378
338.777,0.0383
339.175,0.0398
339.573,0.0391
339.971,0.0391
340.369,0.0391
340.767,0.0391
341.165,0.0399
341.563,0.0388
341.961,0.0390
342.359,0.0390
342.757,0.0388
343.156,0.0398
343.554,0.0401
343.952,0.0398
344.350,0.0397
344.749,0.0401
345.147,0.0407
345.546,0.0405
345.944,0.0409
346.343,0.0422
346.741,0.0420
347.140,0.0419
347.538,0.0414
347.937,0.0416
348.336,0.0417
348.734,0.0410
349.133,0.0407
349.532,0.0410
349.931,0.0409
350.329,0.0410
350.728,0.0412
351.127,0.0412
351.526,0.0408
351.925,0.0406
352.324,0.0406
352.723,0.0408
353.122,0.0401
353.521,0.0400
353.920,0.0398
354.319,0.0390
354.719,0.0398
355.118,0.0403
355.517,0.0396
355.916,0.0387
356.316,0.0389
