Data Generated by    ,Optosky
Save time:,2022/4/4 19:00:48
Material:, 
Integrate time:,10ms
Driver current:,700mA
Filter level:,NONE
Accumulate:,10
X Axis Unit:,WaveLength
position,value
206.727,0.0066
207.113,0.0066
207.498,0.0066
207.884,0.0066
208.269,0.0066
208.655,0.0066
209.040,0.0066
209.426,0.0066
209.812,0.0066
210.197,0.0069
210.583,0.0076
210.969,0.0076
211.355,0.0076
211.741,0.0079
212.127,0.0072
212.513,0.0085
212.899,0.0087
213.285,0.0077
213.671,0.0077
214.057,0.0079
214.443,0.0078
214.829,0.0079
215.215,0.0079
215.602,0.0072
215.988,0.0075
216.374,0.0077
216.761,0.0084
217.147,0.0089
217.534,0.0084
217.920,0.0082
218.307,0.0087
218.694,0.0091
219.080,0.0089
219.467,0.0079
219.854,0.0082
220.240,0.0089
220.627,0.0097
221.014,0.0094
221.401,0.0093
221.788,0.0103
222.175,0.0109
222.562,0.0112
222.949,0.0117
223.336,0.0115
223.723,0.0119
224.110,0.0117
224.497,0.0122
224.885,0.0126
225.272,0.0134
225.659,0.0142
226.047,0.0131
226.434,0.0133
226.822,0.0143
227.209,0.0146
227.597,0.0149
227.984,0.0167
228.372,0.0167
228.759,0.0172
229.147,0.0181
229.535,0.0188
229.923,0.0193
230.310,0.0193
230.698,0.0201
231.086,0.0201
231.474,0.0210
231.862,0.0215
232.250,0.0225
232.638,0.0226
233.026,0.0242
233.414,0.0251
233.802,0.0258
234.191,0.0255
234.579,0.0267
234.967,0.0275
235.355,0.0269
235.744,0.0270
236.132,0.0273
236.521,0.0269
236.909,0.0279
237.298,0.0290
237.686,0.0295
238.075,0.0291
238.463,0.0302
238.852,0.0291
239.241,0.0298
239.629,0.0309
240.018,0.0310
240.407,0.0308
240.796,0.0314
241.185,0.0315
241.574,0.0322
241.963,0.0321
242.352,0.0320
242.741,0.0320
243.130,0.0320
243.519,0.0320
243.908,0.0322
244.297,0.0324
244.687,0.0326
245.076,0.0325
245.465,0.0321
245.855,0.0317
246.244,0.0325
246.634,0.0325
247.023,0.0323
247.413,0.0326
247.802,0.0328
248.192,0.0336
248.581,0.0335
248.971,0.0326
249.361,0.0324
249.751,0.0341
250.140,0.0350
250.530,0.0346
250.920,0.0343
251.310,0.0349
251.700,0.0351
252.090,0.0353
252.480,0.0356
252.870,0.0361
253.260,0.0354
253.650,0.0354
254.040,0.0359
254.431,0.0354
254.821,0.0353
255.211,0.0341
255.601,0.0345
255.992,0.0343
256.382,0.0345
